,Comida,Comida Cap,Comida May,Calorias,Categoria,Hidratos de C,Grasas,Proteinas,Colesterol,Fibra,Catalán
208,codorniz,Codorniz,CODORNIZ,233,Productos avicolas,0,"14,04",25,86,0,guatlla
209,azafrán,Azafrán,AZAFRÁN,350,Hierbas y especias,"61,5","5,9","11,4",0,"3,9",safrà
210,salchichas de pavo,Salchichas de pavo,SALCHICHAS DE PAVO,156,Carnes,"14,7","7,8","6,9",0,0,salsitxes de gall dindi
211,zumo de piña,Zumo de piña,ZUMO DE PIÑA,46,Frutas,"10,7","0,1","0,4",0,"0,1",suc de pinya
212,tomillo,Tomillo,TOMILLO,336,Hierbas y especias,"57,1","7,4","9,1",0,"18,6",farigola
213,sardina,Sardina,SARDINA,140,"Pescado, moluscos y marisco",0,"7,5","18,1",100,0,sardina
214,chukrut,Chukrut,CHUKRUT,19,Vegetales,"4,28","0,14","0,91",0,"2,5",xucrut
215,refresco de uva,Refresco de uva,REFRESCO DE UVA,46,Bebidas,"11,33",0,0,0,0,refresc de raïm
216,rabo de toro,Rabo de toro,RABO DE TORO,200,Sopas,0,14,"18,6",70,0,cua de bou
217,hamburguesa de pollo,Hamburguesa de pollo,HAMBURGUESA DE POLLO,148,Productos avicolas,"4,3","7,5",16,0,0,hamburguesa de pollastre
218,zumo de lima,Zumo de lima,ZUMO DE LIMA,15,Frutas,"3,2","0,125","0,3",0,"0,1",suc de llima
219,cebollino,Cebollino,CEBOLLINO,25,Vegetales,"1,9","0,525",3,0,"2,3",cibulet
220,kellogs,Kellogs,KELLOGS,397,Cereales y derivados,88,"1,6","5,7",0,"1,5",kellogs
221,hinojo,Hinojo,HINOJO,14,Hierbas y especias,"2,3",0,"1,1",0,"3,3",fonoll
222,tortitas de patata,Tortitas de patata,TORTITAS DE PATATA,425,Vegetales,"67,6","13,6","5,7",0,"4,8",tortitas de patata
223,limas,Limas,LIMAS,8,Frutas,1,"0,2","0,6",0,"2,8",llimes
224,nueces pecanas,Nueces pecanas,NUECES PECANAS,736,Frutos secos,"5,2","72,1","10,1",0,"1,27",nous pecanes
225,riñones,Riñones,RIÑONES,107,Carnes,0,"4,32","16,8",375,0,ronyons
226,chalotes,Chalotes,CHALOTES,72,Vegetales,"16,8","0,1","2,5",0,0,escalunyes
227,batido,Batido,BATIDO,102,Productos lacteos,"21,31","1,64","1,75",5,"1,6",batut
228,gruyere,Gruyere,GRUYERE,375,Productos lacteos,"0,36","31,3","23,42",120,0,gruyere
229,oregano,Oregano,OREGANO,418,Hierbas y especias,"68,92","10,3",11,0,"42,8",orenga
230,gazpacho,Gazpacho,GAZPACHO,34,Sopas,"1,6","2,8","0,6",0,"0,2",gaspatxo
231,costilla,Costilla,COSTILLA,279,Carnes,0,"23,6","17,1",77,0,costella
232,sopa de guisantes,Sopa de guisantes,SOPA DE GUISANTES,59,Sopas,"9,78","1,58","1,72",0,"0,5",sopa de pèsols
233,lentejas,Lentejas,LENTEJAS,333,Legumbres,"54,8","1,7",23,0,"11,2",llentia
234,higos,Higos,HIGOS,70,Frutas,16,0,"1,2",0,"2,5",figues
235,sopa de queso y brocoli,Sopa de queso y brocoli,SOPA DE QUESO Y BROCOLI,121,Sopas,"8,19","8,15","4,22",23,"0,8",sopa de formatge i bròquil
236,remolachas,Remolachas,REMOLACHAS,30,Vegetales,"5,6","0,2","1,2",0,"2,5",remolatxes
237,ruibarbo,Ruibarbo,RUIBARBO,92,Frutas,"23,46","0,09","0,44",0,"1,5",ruibarbre
238,paprika,Paprika,PAPRIKA,503,Hierbas y especias,52,"30,9","4,6",0,"2,7",paprika
239,estragón,Estragón,ESTRAGÓN,295,Hierbas y especias,"50,22","7,24","22,77",0,"7,4",estragó
240,carne de cerdo,Carne de cerdo,CARNE DE CERDO,271,Carnes,0,"17,04","27,34",90,0,carn de porc
241,piñones,Piñones,PIÑONES,683,Frutos secos,4,"62,61",14,0,"1,9",pinyons
242,rollo de pollo,Rollo de pollo,ROLLO DE POLLO,146,Productos avicolas,0,"6,2","22,2",62,0,rotllo de pollastre
243,carne strogonoff,Carne strogonoff,CARNE STROGONOFF,154,Carnes,"5,97","9,91","10,16",27,"0,5",carn strogonoff
244,extracto de vainilla,Extracto de vainilla,EXTRACTO DE VAINILLA,288,Hierbas y especias,"12,65","0,06","0,06",0,0,extracte de vainilla
245,semillas de mostaza,Semillas de mostaza,SEMILLAS DE MOSTAZA,133,Hierbas y especias,5,10,"5,9",0,"1,3",llavors de mostassa
246,sopa de cebolla,Sopa de cebolla,SOPA DE CEBOLLA,46,Sopas,"6,68","1,42","3,06",0,"0,7",sopa d'esquer
247,salsa de arándanos,Salsa de arándanos,SALSA DE ARÁNDANOS,242,Frutas,"58,7",0,"0,5",0,"1,1",salsa de nabius
248,berro,Berro,BERRO,12,Vegetales,"0,3","0,2","2,2",0,"2,6",créixens
249,chile en polvo,Chile en polvo,CHILE EN POLVO,314,Hierbas y especias,"54,66","16,76","12,26",0,"34,2",xili en pols
250,dulce de leche,Dulce de leche,DULCE DE LECHE,313,Dulces,"53,5","7,8","7,2",0,0,Dolç de llet
251,ciruelas,Ciruelas,CIRUELAS,54,Frutas,12,"0,2","0,75",0,"2,3",prunes
252,arenque,Arenque,ARENQUE,253,"Pescado, moluscos y marisco",0,"13,9",23,50,0,arengada
