Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Beniel,Municipio,Murcia,6.043,7.220,8.469,11.057,11.274
Blanca,Municipio,Murcia,6.486,5.768,5.787,6.448,6.564
Bullas,Municipio,Murcia,9.666,10.009,11.008,12.244,11.547
Calasparra,Municipio,Murcia,8.678,8.745,9.258,10.585,10.165
Campos del Río,Municipio,Murcia,2.046,1.949,2.046,2.201,2.045
Caravaca de la Cruz,Municipio,Murcia,20.455,21.296,22.963,26.088,25.730
Cartagena,Municipio,Murcia,167.936,168.023,184.686,215.757,213.943
Cehegín,Municipio,Murcia,13.648,13.614,14.418,15.946,15.022
Ceutí,Municipio,Murcia,5.664,6.411,7.696,10.899,11.565
Cieza,Municipio,Murcia,30.327,30.875,33.017,35.195,34.889
Fortuna,Municipio,Murcia,5.792,6.004,7.149,9.928,10.060
Fuente Álamo de Murcia,Municipio,Murcia,8.538,8.279,11.583,16.117,16.184
Jumilla,Municipio,Murcia,20.663,20.092,22.113,25.496,25.547
Las Torres de Cotillas,Municipio,Murcia,11.349,14.132,16.450,21.478,21.375
La Unión,Municipio,Murcia,14.262,13.940,14.541,18.965,19.907
Librilla,Municipio,Murcia,3.516,3.764,3.925,4.812,5.196
Lorca,Municipio,Murcia,61.879,65.919,77.477,91.849,93.079
Lorquí,Municipio,Murcia,5.049,5.328,5.644,6.932,7.002
Los Alcázares,Municipio,Murcia,2.056,3.683,8.470,15.628,15.674
Mazarrón,Municipio,Murcia,10.270,14.591,20.841,34.422,31.562
Molina de Segura,Municipio,Murcia,31.515,37.806,46.905,66.771,70.964
Moratalla,Municipio,Murcia,9.374,8.976,8.595,8.305,7.954
Mula,Municipio,Murcia,14.738,13.053,14.611,17.082,16.790
Murcia,Municipio,Murcia,284.585,328.100,370.745,437.667,447.182
Ojós,Municipio,Murcia,647,678,579,578,500
Pliego,Municipio,Murcia,3.378,3.327,3.413,4.049,3.842
Puerto Lumbreras,Municipio,Murcia,8.560,9.961,11.331,14.502,14.981
Ricote,Municipio,Murcia,1.774,1.689,1.556,1.451,1.301
San Javier,Municipio,Murcia,11.958,14.696,20.125,31.901,31.905
San Pedro del Pinatar,Municipio,Murcia,8.866,12.057,16.678,23.981,25.167
Santomera,Municipio,Murcia,7.346,8.518,11.726,15.547,16.105
Torre-Pacheco,Municipio,Murcia,14.315,16.568,24.332,33.419,35.614
Totana,Municipio,Murcia,18.537,20.466,24.657,30.733,31.639
Ulea,Municipio,Murcia,1.174,1.073,970,926,879
Villanueva del Río Segura,Municipio,Murcia,1.738,1.663,1.572,2.440,2.758
Yecla,Municipio,Murcia,25.307,27.362,30.824,34.448,34.234
Ademuz,Municipio,Valencia,1.545,1.300,1.115,1.250,1.046
Ador,Municipio,Valencia,1.256,1.088,1.237,1.497,1.393
Agost,Municipio,Alicante,3.772,3.966,4.193,4.752,4.713
Agres,Municipio,Alicante,727,676,635,576,551
Agullent,Municipio,Valencia,2.016,2.097,2.279,2.464,2.413
Aielo de Malferit (Ayelo de Malferit),Municipio,Valencia,3.549,3.823,4.155,4.695,4.646
Aielo de Rugat (Ayelo de Rugat),Municipio,Valencia,222,201,197,185,155
Aigües (Aguas de Busot),Municipio,Alicante,377,372,541,1.051,936
Aín (Ahín),Municipio,Castellón,162,131,155,139,125
Alaquàs (Alacuás),Municipio,Valencia,23.728,24.163,27.733,30.148,29.341
Albaida,Municipio,Valencia,5.573,5.868,5.951,6.153,5.908
Albal,Municipio,Valencia,8.139,9.157,12.652,15.695,16.270
Albalat de la Ribera,Municipio,Valencia,3.594,3.486,3.431,3.491,3.329
Albalat dels Sorells,Municipio,Valencia,3.657,3.538,3.499,3.909,3.944
Albalat dels Tarongers (Albalat de Taronchers),Municipio,Valencia,567,567,717,1.138,1.202
Albatera,Municipio,Alicante,7.123,7.795,8.633,11.690,12.042
Alberic (Alberique),Municipio,Valencia,8.971,8.608,9.268,11.154,10.556
Albocàsser (Albocácer),Municipio,Castellón,1.647,1.509,1.353,1.385,1.234
Alborache,Municipio,Valencia,821,882,934,1.245,1.127
Alboraia (Alboraya),Municipio,Valencia,10.786,11.697,18.201,22.915,24.222
Albuixech,Municipio,Valencia,3.005,2.963,3.076,3.948,3.983
Alcalà de Xivert (Alcalá de Chivert),Municipio,Castellón,4.609,4.786,5.682,7.826,6.679
Alcalalí,Municipio,Alicante,624,827,902,1.334,1.298
Alcàntera de Xúquer,Municipio,Valencia,1.436,1.450,1.419,1.379,1.297
Alcàsser (Alcácer),Municipio,Valencia,6.586,7.225,7.557,9.459,9.908
Alcocer de Planes,Municipio,Alicante,132,123,153,222,229
Alcoleja (Alcolecha),Municipio,Alicante,346,297,251,193,180
Alcoy (Alcoi),Municipio,Alicante,66.396,65.514,58.358,60.716,58.977
Alcublas,Municipio,Valencia,1.024,860,812,769,654
Alcudia de Veo,Municipio,Castellón,269,191,199,221,201
Aldaia (Aldaya),Municipio,Valencia,21.001,22.381,24.800,30.641,31.492
Alfafar,Municipio,Valencia,20.212,20.151,18.622,20.702,20.763
Alfafara,Municipio,Alicante,404,399,418,416,407
Alfara de la Baronia (Alfara de Algimia),Municipio,Valencia,568,527,490,559,539
Alfara del Patriarca,Municipio,Valencia,2.855,2.835,2.623,3.216,3.314
Alfarp,Municipio,Valencia,1.240,1.335,1.353,1.541,1.532
Alfarrasí,Municipio,Valencia,1.201,1.209,1.228,1.302,1.262
Alfauir (Alfahuir),Municipio,Valencia,332,287,357,421,440
Alfondeguilla,Municipio,Castellón,932,919,921,879,862
Algar de Palancia,Municipio,Valencia,444,393,424,549,470
Algemesí,Municipio,Valencia,25.514,25.375,24.563,28.203,27.285
Algimia de Alfara,Municipio,Valencia,927,867,947,1.062,1.019
Algimia de Almonacid,Municipio,Castellón,438,333,299,296,259
Alginet,Municipio,Valencia,11.468,11.645,11.947,13.607,13.100
Algorfa,Municipio,Alicante,1.071,1.093,1.710,3.312,2.838
Algueña,Municipio,Alicante,1.609,1.490,1.453,1.506,1.341
Alicante (Alacant),Municipio,Alicante,245.963,265.473,284.580,329.325,331.577
Almàssera (Almácera),Municipio,Valencia,5.471,5.434,5.931,7.296,7.295
Almassora (Almazora),Municipio,Castellón,15.372,15.348,17.331,25.522,25.831
Almedíjar,Municipio,Castellón,287,298,270,302,256
Almenara,Municipio,Castellón,5.032,5.030,4.947,6.059,5.900
Almiserà (Almiserat),Municipio,Valencia,241,197,247,312,258
Almoines,Municipio,Valencia,1.902,1.868,1.709,2.355,2.379
Almoradí,Municipio,Alicante,11.461,12.590,14.050,19.280,20.542
Almudaina,Municipio,Alicante,162,133,109,119,104
Almussafes (Almusafes),Municipio,Valencia,5.090,6.360,7.070,8.475,8.932
Alpuente,Municipio,Valencia,1.477,1.191,911,759,637
Altea,Municipio,Alicante,11.154,12.286,15.910,22.385,21.995
Altura,Municipio,Castellón,2.905,3.022,3.140,3.784,3.509
Alzira (Alcira),Municipio,Valencia,38.334,40.309,39.668,44.662,44.393
Andilla,Municipio,Valencia,171,183,372,398,303
Anna,Municipio,Valencia,2.579,2.666,2.742,2.729,2.638
Antella,Municipio,Valencia,1.638,1.635,1.518,1.414,1.209
Arañuel,Municipio,Castellón,158,110,187,199,146
Aras de los Olmos,Municipio,Valencia,546,428,383,421,374
Ares del Maestrat,Municipio,Castellón,466,340,235,212,190
Argelita,Municipio,Castellón,102,106,110,101,113
Artana,Municipio,Castellón,2.089,1.905,1.870,1.956,1.958
Aspe,Municipio,Alicante,15.291,16.013,16.631,20.186,20.537
Atzeneta d'Albaida (Adzaneta de Albaida),Municipio,Valencia,1.364,1.252,1.263,1.224,1.162
Atzeneta del Maestrat (Adzaneta),Municipio,Castellón,1.811,1.587,1.395,1.343,1.271
Ayódar,Municipio,Castellón,216,215,238,210,164
Ayora,Municipio,Valencia,6.180,5.506,5.497,5.438,5.276
Azuébar,Municipio,Castellón,428,414,327,362,324
Balones,Municipio,Alicante,204,152,185,147,122
Banyeres de Mariola (Bañeres),Municipio,Alicante,6.704,7.029,7.115,7.225,7.113
Barracas,Municipio,Castellón,232,171,164,199,169
Barx (Bárig),Municipio,Valencia,984,995,1.207,1.323,1.229
Barxeta (Barcheta),Municipio,Valencia,1.525,1.599,1.602,1.622,1.604
Bejís,Municipio,Castellón,559,430,370,418,373
Bèlgida (Bélgida),Municipio,Valencia,697,679,709,720,672
Bellreguard (Bellreguart),Municipio,Valencia,3.771,3.683,3.912,4.679,4.549
Bellús,Municipio,Valencia,417,413,405,355,314
Benafer,Municipio,Castellón,130,126,150,177,156
Benafigos,Municipio,Castellón,334,262,205,161,149
Benagéber,Municipio,Valencia,145,121,181,170,190
Benaguasil (Benaguacil),Municipio,Valencia,8.668,8.718,9.116,11.162,10.878
Benasau,Municipio,Alicante,254,221,221,172,156
Benassal (Benasal),Municipio,Castellón,1.581,1.458,1.374,1.223,1.084
Benavites,Municipio,Valencia,675,657,645,629,594
Beneixama (Benejama),Municipio,Alicante,1.944,1.819,1.816,1.771,1.703
Beneixida (Benegida),Municipio,Valencia,604,489,597,706,648
Benejúzar,Municipio,Alicante,4.025,4.666,5.106,5.288,5.361
Benetússer (Benetúser),Municipio,Valencia,13.575,14.004,13.425,14.923,14.668
Benferri,Municipio,Alicante,981,949,1.166,1.881,1.940
Beniarbeig,Municipio,Alicante,1.118,1.205,1.315,1.881,1.983
Beniardá,Municipio,Alicante,277,231,245,209,178
Beniarjó,Municipio,Valencia,1.326,1.104,1.217,1.810,1.746
Beniarrés,Municipio,Alicante,1.663,1.503,1.375,1.249,1.118
Beniatjar,Municipio,Valencia,288,257,236,234,224
Benicarló,Municipio,Castellón,16.641,18.351,20.542,26.355,26.744
Benicasim (Benicàssim),Municipio,Castellón,4.268,6.136,12.456,18.178,18.055
Benicolet,Municipio,Valencia,480,494,509,625,582
Benicull de Xúquer (← Polinyà de Xúquer),Municipio,Valencia,...,...,...,964,974
Benidoleig,Municipio,Alicante,734,800,890,1.187,1.110
Benidorm,Municipio,Alicante,24.983,42.442,51.873,68.045,67.558
Benifaió (Benifayó),Municipio,Valencia,11.893,11.912,12.050,11.965,11.930
Benifairó de la Valldigna,Municipio,Valencia,1.608,1.652,1.692,1.636,1.580
Benifairó de les Valls (Benifairó de los Valles),Municipio,Valencia,1.954,1.962,1.898,2.235,2.168
Benifallim,Municipio,Alicante,196,166,155,110,108
Benifato,Municipio,Alicante,124,124,166,193,149
Beniflá,Municipio,Valencia,166,153,221,462,455
Benigànim,Municipio,Valencia,5.074,5.326,5.572,6.302,5.899
Benigembla (Benichembla),Municipio,Alicante,482,354,488,519,444
Benijófar,Municipio,Alicante,1.348,1.515,2.297,3.355,3.357
Benilloba,Municipio,Alicante,1.036,959,903,790,742
Benillup,Municipio,Alicante,62,76,97,109,94
Benimantell,Municipio,Alicante,425,453,402,483,490
Benimarfull,Municipio,Alicante,420,416,420,405,413
Benimassot (Benimasot),Municipio,Alicante,115,118,147,124,96
Benimeli,Municipio,Alicante,388,322,334,411,410
Benimodo,Municipio,Valencia,1.746,1.710,1.930,2.279,2.241
Benimuslem,Municipio,Valencia,560,569,576,676,660
Beniparrell,Municipio,Valencia,1.318,1.359,1.680,1.993,1.931
Benirredrà (Benirredrá),Municipio,Valencia,848,901,1.322,1.649,1.576
Benissa (Benisa),Municipio,Alicante,7.067,8.045,9.821,11.613,10.768
Benissanó (Benisanó),Municipio,Valencia,1.611,1.672,1.828,2.306,2.224
Benissoda (Benisoda),Municipio,Valencia,283,306,309,413,418
Benissuera (Benisuera),Municipio,Valencia,221,203,193,189,180
Benitachell (El Poble Nou de Benitatxell),Municipio,Alicante,1.532,1.641,2.385,4.540,4.130
Benlloch,Municipio,Castellón,1.073,958,901,1.153,1.036
Bétera,Municipio,Valencia,8.759,9.775,15.238,21.815,23.647
Betxí (Bechí),Municipio,Castellón,4.895,5.285,5.315,5.772,5.709
Biar,Municipio,Alicante,3.203,3.477,3.539,3.719,3.651
Bicorp,Municipio,Valencia,776,713,662,556,524
Bigastro,Municipio,Alicante,4.083,4.508,5.155,6.737,6.702
Bocairent (Bocairente),Municipio,Valencia,5.024,4.661,4.457,4.476,4.214
Bolbaite,Municipio,Valencia,1.335,1.395,1.447,1.462,1.347
Bolulla,Municipio,Alicante,306,277,358,408,418
Bonrepòs i Mirambell (Bonrepós y Mirambell),Municipio,Valencia,2.430,2.346,2.231,3.458,3.645
Borriana (Burriana),Municipio,Castellón,25.120,25.671,26.757,35.044,34.544
Borriol,Municipio,Castellón,2.464,2.701,3.812,5.210,5.322
Bufali,Municipio,Valencia,290,214,197,187,159
Bugarra,Municipio,Valencia,936,876,817,814,715
Buñol,Municipio,Valencia,9.085,9.096,9.090,9.892,9.517
Burjassot (Burjasot),Municipio,Valencia,35.723,34.138,35.330,37.947,37.584
Busot,Municipio,Alicante,652,971,1.683,3.123,2.925
Cabanes,Municipio,Castellón,2.768,2.456,2.473,2.951,2.889
Càlig (Cálig),Municipio,Castellón,1.749,1.764,1.748,2.178,1.945
Calles,Municipio,Valencia,453,404,399,468,342
Callosa d'En Sarrià (Callosa de Ensarriá),Municipio,Alicante,7.117,7.491,7.057,7.653,7.257
Callosa de Segura,Municipio,Alicante,14.481,14.780,15.805,17.919,18.864
Calp (Calpe),Municipio,Alicante,8.032,10.683,18.881,23.241,21.633
Campo de Mirra (El Camp de Mirra),Municipio,Alicante,413,368,410,432,428
Camporrobles,Municipio,Valencia,1.631,1.492,1.361,1.402,1.195
Cañada,Municipio,Alicante,1.099,1.073,1.213,1.240,1.214
Canals,Municipio,Valencia,11.258,12.308,12.710,13.951,13.588
Canet d'En Berenguer (Canet de Berenguer),Municipio,Valencia,1.307,1.538,3.007,5.988,6.575
Canet lo Roig,Municipio,Castellón,1.216,1.052,873,828,696
Carcaixent (Carcagente),Municipio,Valencia,22.228,20.208,19.508,20.639,20.424
Càrcer (Cárcer),Municipio,Valencia,2.050,2.009,2.001,2.048,1.876
Carlet,Municipio,Valencia,13.150,14.167,14.213,15.237,15.514
Carrícola,Municipio,Valencia,87,67,83,99,93
Casas Altas,Municipio,Valencia,220,164,161,155,136
Casas Bajas,Municipio,Valencia,471,329,273,227,172
Casinos,Municipio,Valencia,2.222,2.281,2.268,2.833,2.773
Castalla,Municipio,Alicante,6.688,7.229,7.923,10.304,9.880
Castell de Cabres,Municipio,Castellón,36,24,19,20,19
Castell de Castells,Municipio,Alicante,695,532,471,446,435
Castellfort,Municipio,Castellón,341,278,230,234,192
Castellnovo,Municipio,Castellón,1.098,1.094,1.026,1.045,946
Castelló de Rugat (Castellón de Rugat),Municipio,Valencia,2.147,2.045,2.186,2.328,2.275
Castellón de la Plana (Castelló de la Plana),Municipio,Castellón,124.487,134.213,147.667,176.298,170.888
Castellonet de la Conquesta,Municipio,Valencia,98,89,139,170,145
Castielfabib,Municipio,Valencia,798,645,302,301,306
Castillo de Villamalefa,Municipio,Castellón,226,138,96,113,101
Catadau,Municipio,Valencia,2.012,2.170,2.300,2.758,2.830
Catarroja,Municipio,Valencia,20.090,20.217,20.990,27.631,27.827
Catí,Municipio,Castellón,1.021,923,850,829,742
Catral,Municipio,Alicante,4.246,4.478,5.295,8.574,8.631
Caudete de las Fuentes,Municipio,Valencia,1.080,917,820,760,696
Caudiel,Municipio,Castellón,638,705,704,736,647
Cerdà (Cerdá),Municipio,Valencia,280,258,279,407,334
Cervera del Maestre,Municipio,Castellón,916,784,637,686,599
Chella,Municipio,Valencia,2.534,2.510,2.519,2.753,2.469
Chelva,Municipio,Valencia,2.234,2.065,2.046,1.714,1.498
Chera,Municipio,Valencia,642,623,547,590,494
Cheste,Municipio,Valencia,7.012,6.717,7.002,8.589,8.319
Chilches (Xilxes),Municipio,Castellón,2.086,2.135,2.347,2.853,2.670
Chiva,Municipio,Valencia,6.421,7.481,10.577,15.086,14.941
Chodos (Xodos),Municipio,Castellón,181,160,145,126,113
Chóvar,Municipio,Castellón,427,420,369,355,297
Chulilla,Municipio,Valencia,692,681,751,710,615
Cinctorres,Municipio,Castellón,698,613,502,473,399
Cirat,Municipio,Castellón,409,316,237,258,206
Cocentaina,Municipio,Alicante,9.946,10.550,10.617,11.424,11.456
Cofrentes,Municipio,Valencia,1.052,859,967,1.023,1.125
Confrides,Municipio,Alicante,377,297,309,283,208
Corbera,Municipio,Valencia,3.185,3.141,3.029,3.308,3.160
Cortes de Arenoso,Municipio,Castellón,464,427,366,348,317
Cortes de Pallás,Municipio,Valencia,643,713,839,1.006,818
Costur,Municipio,Castellón,501,482,466,594,511
Cotes,Municipio,Valencia,430,386,361,387,332
Cox,Municipio,Alicante,5.061,5.350,6.196,6.975,7.226
Crevillent (Crevillente),Municipio,Alicante,20.940,22.694,24.786,28.269,28.957
Culla,Municipio,Castellón,1.210,953,733,609,504
Cullera,Municipio,Valencia,20.342,20.121,20.379,22.692,21.918
Daimús (Daimuz),Municipio,Valencia,1.286,1.279,1.922,3.104,3.128
Daya Nueva,Municipio,Alicante,1.194,1.199,1.244,1.896,1.718
Daya Vieja,Municipio,Alicante,233,202,226,596,685
Dénia (Denia),Municipio,Alicante,21.912,24.764,33.342,42.743,41.733
Dolores,Municipio,Alicante,6.017,5.817,6.267,7.303,7.383
Domeño,Municipio,Valencia,305,483,526,715,704
Dos Aguas,Municipio,Valencia,464,410,448,507,355
El Campello (Campello),Municipio,Alicante,8.278,10.802,19.237,26.505,27.893
El Castell de Guadalest (Guadalest),Municipio,Alicante,164,165,180,227,209
Elche (Elx),Municipio,Alicante,164.779,188.062,194.767,227.417,230.625
Elda,Municipio,Alicante,53.128,54.350,51.593,54.357,52.404
El Fondó de les Neus (Hondón de las Nieves),Municipio,Alicante,1.562,1.426,1.660,2.731,2.474
El Palomar (Palomar),Municipio,Valencia,516,502,511,601,576
El Pinós (Pinoso),Municipio,Alicante,5.218,5.621,6.370,7.742,7.845
El Puig de Santa Maria,Municipio,Valencia,5.148,6.428,7.352,8.974,8.566
El Ràfol d'Almúnia,Municipio,Alicante,418,376,536,704,644
El Real de Gandía,Municipio,Valencia,1.861,1.902,1.870,2.234,2.395
Els Poblets,Municipio,Alicante,1.018,1.024,1.822,3.029,2.864
El Toro,Municipio,Castellón,333,300,291,283,253
El Verger (Vergel),Municipio,Alicante,3.777,3.640,3.744,4.856,4.520
Emperador,Municipio,Valencia,164,161,205,629,692
Enguera,Municipio,Valencia,5.044,5.042,5.191,5.425,4.800
Eslida,Municipio,Castellón,862,846,764,917,776
Espadilla,Municipio,Castellón,46,79,74,114,72
Estivella,Municipio,Valencia,1.132,1.075,1.148,1.386,1.432
Estubeny,Municipio,Valencia,164,138,152,128,122
Facheca,Municipio,Alicante,178,137,115,100,101
Famorca,Municipio,Alicante,126,70,73,56,53
Fanzara,Municipio,Castellón,282,290,252,339,276
Faura,Municipio,Valencia,2.772,2.816,2.804,3.520,3.547
Favara (Favareta),Municipio,Valencia,1.700,1.727,1.777,2.432,2.490
Figueroles,Municipio,Castellón,604,586,583,564,525
Finestrat,Municipio,Alicante,980,1.315,2.307,6.099,6.381
Foios (Foyos),Municipio,Valencia,5.326,5.320,5.540,7.020,7.342
Fontanars dels Alforins,Municipio,Valencia,1.038,948,982,1.009,979
Forcall,Municipio,Castellón,738,604,558,520,453
Formentera del Segura,Municipio,Alicante,1.930,2.028,2.170,3.995,4.131
Fortaleny,Municipio,Valencia,982,999,997,1.030,1.030
Fuente la Reina,Municipio,Castellón,39,40,32,60,49
Fuenterrobles,Municipio,Valencia,851,740,706,716,682
Fuentes de Ayódar,Municipio,Castellón,82,80,101,151,94
Gaianes (Gayanes),Municipio,Alicante,358,331,319,435,471
Gaibiel,Municipio,Castellón,338,227,200,195,193
Gandia (Gandía),Municipio,Valencia,48.558,51.806,59.850,77.595,73.829
Gata de Gorgos,Municipio,Alicante,5.097,4.959,5.129,6.129,5.893
Gátova,Municipio,Valencia,626,469,471,436,392
Gavarda (Gabarda),Municipio,Valencia,1.228,1.250,1.169,1.114,1.058
Geldo,Municipio,Castellón,802,717,703,690,633
Genovés,Municipio,Valencia,2.033,2.189,2.478,2.833,2.828
Gestalgar,Municipio,Valencia,655,606,624,745,554
Gilet,Municipio,Valencia,1.007,1.199,1.631,3.288,3.276
Godella,Municipio,Valencia,7.653,9.587,11.080,13.162,13.058
Godelleta,Municipio,Valencia,1.823,1.943,2.365,3.342,3.462
Gorga,Municipio,Alicante,323,291,269,255,258
Granja de Rocamora,Municipio,Alicante,1.947,1.961,1.745,2.471,2.489
Guadasséquies (Guadasequies),Municipio,Valencia,361,404,380,446,444
Guadassuar (Guadasuar),Municipio,Valencia,5.404,5.387,5.414,6.084,5.914
Guardamar de la Safor,Municipio,Valencia,46,57,76,499,491
Guardamar del Segura,Municipio,Alicante,5.709,6.899,9.480,15.520,15.058
Herbés,Municipio,Castellón,167,135,90,57,49
Higueras,Municipio,Castellón,51,33,47,58,62
Higueruelas,Municipio,Valencia,603,593,537,512,508
Hondón de los Frailes,Municipio,Alicante,528,548,622,1.109,1.132
Ibi,Municipio,Alicante,20.014,20.685,21.798,23.569,23.403
Jacarilla,Municipio,Alicante,1.355,1.466,1.644,2.008,1.986
Jalance,Municipio,Valencia,1.586,1.174,1.021,977,845
Jarafuel,Municipio,Valencia,1.488,1.025,849,818,776
Jávea (Xàbia),Municipio,Alicante,10.924,16.473,18.753,28.936,27.224
Jérica,Municipio,Castellón,1.728,1.647,1.561,1.653,1.553
Jijona (Xixona),Municipio,Alicante,8.785,7.890,7.247,7.366,6.875
La Font de la Figuera (Fuente la Higuera),Municipio,Valencia,2.257,2.221,2.081,2.170,2.038
La Font d'En Carròs (Fuente Encarroz),Municipio,Valencia,3.348,3.265,3.190,4.005,3.790
La Granja de la Costera,Municipio,Valencia,450,371,349,412,297
La Jana,Municipio,Castellón,1.064,934,779,766,666
L'Alcora (Alcora),Municipio,Castellón,8.020,8.367,9.508,10.740,10.430
L'Alcúdia (La Alcudia),Municipio,Valencia,10.047,10.024,10.547,11.397,11.938
L'Alcúdia de Crespins (Alcudia de Crespins),Municipio,Valencia,4.119,4.091,4.344,5.231,5.188
L'Alfàs del Pi (Alfaz del Pi),Municipio,Alicante,5.049,9.075,11.103,19.802,20.053
La Llosa,Municipio,Castellón,976,957,908,949,940
La Llosa de Ranes (Llosa de Ranes),Municipio,Valencia,3.513,3.582,3.761,3.970,3.585
L'Alqueria d'Asnar (Alquería de Aznar),Municipio,Alicante,412,408,417,517,491
L'Alqueria de la Comtessa (Alquería de la Condesa),Municipio,Valencia,1.712,1.547,1.421,1.513,1.418
La Mata de Morella,Municipio,Castellón,233,217,166,199,162
La Nucia (La Nucía),Municipio,Alicante,3.426,6.078,6.587,17.096,18.242
La Pobla de Benifassà (Puebla de Benifasar),Municipio,Castellón,365,227,227,288,197
La Pobla de Farnals (Puebla de Farnals),Municipio,Valencia,4.176,4.507,5.287,7.685,7.840
La Pobla del Duc (Puebla del Duc),Municipio,Valencia,2.690,2.609,2.533,2.513,2.537
La Pobla de Vallbona (Puebla de Vallbona),Municipio,Valencia,7.064,8.004,12.938,22.036,24.068
La Pobla Llarga (Puebla Larga),Municipio,Valencia,4.425,4.365,4.359,4.576,4.482
La Pobla Tornesa (Puebla-Tornesa),Municipio,Castellón,510,510,581,1.142,1.208
La Romana,Municipio,Alicante,2.010,1.909,2.044,2.463,2.376
La Salzadella (Salsadella),Municipio,Castellón,974,876,786,846,729
La Torre d'En Besora (Torre de Embesora),Municipio,Castellón,295,240,190,176,157
La Torre d'en Doménec (Torre Endoménech),Municipio,Castellón,343,288,229,241,191
L'Atzúbia (Adsubia),Municipio,Alicante,547,545,550,677,661
La Vall d'Alcalà (Valle de Alcalá),Municipio,Alicante,180,174,166,180,164
La Vall d'Ebo (Vall de Ebo),Municipio,Alicante,431,359,318,278,224
La Vall de Laguar (Vall de Laguart),Municipio,Alicante,1.082,988,870,934,820
La Vall d'Uixó (Vall de Uxó),Municipio,Castellón,26.382,27.837,28.964,32.733,31.552
La Vilavella (Villavieja),Municipio,Castellón,3.418,3.456,3.363,3.279,3.226
La Yesa,Municipio,Valencia,364,306,252,254,227
L'Eliana (La Eliana),Municipio,Valencia,4.697,8.255,13.668,17.095,18.050
L'Ènova (Énova),Municipio,Valencia,1.232,1.178,1.034,998,903
Les Alqueries (Alquerías del Niño Perdido),Municipio,Castellón,3.609,3.615,3.594,4.452,4.460
les Coves de Vinromà (Cuevas de Vinromá),Municipio,Castellón,2.246,1.938,1.818,1.988,1.822
Llanera de Ranes,Municipio,Valencia,972,966,1.038,1.107,1.049
Llaurí,Municipio,Valencia,1.553,1.391,1.402,1.304,1.209
Llíber,Municipio,Alicante,420,469,671,927,1.051
Llíria (Liria),Municipio,Valencia,12.572,13.599,17.211,23.289,22.972
Llocnou de la Corona (Lugar Nuevo de la Corona),Municipio,Valencia,120,121,109,152,118
Llocnou d'En Fenollet (Lugar Nuevo de Fenollet),Municipio,Valencia,636,667,798,902,893
Llocnou de Sant Jeroni,Municipio,Valencia,600,562,573,568,542
Llombai (Llombay),Municipio,Valencia,2.055,2.181,2.327,2.806,2.686
Llucena (Lucena del Cid),Municipio,Castellón,1.899,1.659,1.528,1.480,1.319
Llutxent (Luchente),Municipio,Valencia,2.351,2.361,2.455,2.508,2.373
L'Olleria (Ollería),Municipio,Valencia,6.432,6.798,7.197,8.400,8.225
Lorcha (L'Orxa),Municipio,Alicante,1.002,810,737,717,596
Loriguilla,Municipio,Valencia,1.051,988,1.045,1.827,1.984
Losa del Obispo,Municipio,Valencia,480,478,488,567,504
Los Montesinos,Municipio,Alicante,2.128,2.267,2.774,4.852,4.844
Ludiente,Municipio,Castellón,307,265,209,191,155
Macastre,Municipio,Valencia,820,868,1.063,1.306,1.240
Manises,Municipio,Valencia,24.125,24.530,25.685,30.883,30.693
Manuel,Municipio,Valencia,2.519,2.421,2.450,2.566,2.439
Marines,Municipio,Valencia,1.082,1.169,1.396,1.866,1.828
Massalavés,Municipio,Valencia,1.595,1.500,1.586,1.646,1.575
Massalfassar (Masalfasar),Municipio,Valencia,1.471,1.413,1.412,2.351,2.480
Massamagrell (Masamagrell),Municipio,Valencia,11.953,12.176,13.131,15.487,15.752
Massanassa (Masanasa),Municipio,Valencia,7.029,7.666,7.370,8.905,9.538
Matet,Municipio,Castellón,166,142,125,106,84
Meliana,Municipio,Valencia,8.890,9.149,8.988,10.686,10.662
Millares,Municipio,Valencia,833,756,604,452,346
Millena,Municipio,Alicante,140,135,178,208,229
Miramar,Municipio,Valencia,931,955,1.364,2.518,2.599
Mislata,Municipio,Valencia,33.570,38.666,40.548,43.515,43.278
Mogente (Moixent),Municipio,Valencia,4.019,4.165,4.316,4.668,4.318
Moncada,Municipio,Valencia,17.015,17.898,18.631,21.973,21.802
Moncofa (Moncófar),Municipio,Castellón,3.462,3.566,4.024,6.390,6.278
Monforte del Cid,Municipio,Alicante,4.656,5.050,5.576,7.749,7.944
Monóvar (Monòver),Municipio,Alicante,11.140,12.200,11.763,12.683,12.175
Montán,Municipio,Castellón,506,365,326,415,359
Montanejos,Municipio,Castellón,573,422,414,614,548
Montaverner (Montaberner),Municipio,Valencia,1.675,1.658,1.724,1.815,1.631
Montesa,Municipio,Valencia,1.218,1.269,1.348,1.316,1.180
Montitxelvo (Montichelvo),Municipio,Valencia,715,629,645,667,605
Montroi (Montroy),Municipio,Valencia,1.352,1.481,1.628,2.850,2.822
Montserrat (Monserrat),Municipio,Valencia,2.527,2.546,3.386,7.066,7.583
Morella,Municipio,Castellón,3.346,2.881,2.715,2.668,2.437
Murla,Municipio,Alicante,381,342,391,554,493
Muro de Alcoy,Municipio,Alicante,5.831,6.548,7.514,8.993,9.328
