Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Castrillo de la Reina,Municipio,Burgos,429,354,267,215,185
Castrillo de la Valduerna,Municipio,León,384,307,225,182,164
Castrillo de la Vega,Municipio,Burgos,754,643,601,644,632
Castrillo del Val,Municipio,Burgos,157,199,565,790,792
Castrillo de Onielo,Municipio,Palencia,231,215,167,120,101
Castrillo de Riopisuerga,Municipio,Burgos,152,109,79,70,62
Castrillo de Villavega,Municipio,Palencia,415,340,282,207,183
Castrillo Mota de Judíos (Castrillo Matajudíos),Municipio,Burgos,91,82,80,65,52
Castrillo-Tejeriego,Municipio,Valladolid,362,322,237,196,179
Castrobol,Municipio,Valladolid,164,101,82,67,63
Castrocalbón,Municipio,León,1.630,1.495,1.363,1.072,979
Castrocontrigo,Municipio,León,1.523,1.478,1.114,889,794
Castro de Fuentidueña,Municipio,Segovia,117,106,83,50,29
Castrodeza,Municipio,Valladolid,320,286,240,172,161
Castrogonzalo,Municipio,Zamora,647,593,529,492,478
Castrojeriz,Municipio,Burgos,1.254,1.124,971,857,803
Castrojimeno,Municipio,Segovia,64,51,42,37,36
Castromembibre,Municipio,Valladolid,121,99,84,73,65
Castromocho,Municipio,Palencia,347,306,251,250,230
Castromonte,Municipio,Valladolid,558,547,401,364,309
Castronuevo,Municipio,Zamora,522,397,360,278,232
Castronuevo de Esgueva,Municipio,Valladolid,344,304,318,379,372
Castronuño,Municipio,Valladolid,1.545,1.227,1.095,961,861
Castropodame,Municipio,León,2.207,1.933,1.841,1.780,1.658
Castroponce,Municipio,Valladolid,279,206,178,160,147
Castroserna de Abajo,Municipio,Segovia,107,70,50,59,50
Castroserracín,Municipio,Segovia,45,36,47,55,45
Castrotierra de Valmadrigal,Municipio,León,205,181,154,118,113
Castroverde de Campos,Municipio,Zamora,610,478,403,365,303
Castroverde de Cerrato,Municipio,Valladolid,401,313,260,248,225
Cavia,Municipio,Burgos,248,202,240,266,233
Cayuela,Municipio,Burgos,129,116,126,193,177
Cazurra,Municipio,Zamora,124,118,98,80,87
Cea,Municipio,León,1.026,862,693,519,426
Cebanico,Municipio,León,397,298,232,188,153
Cebrecos,Municipio,Burgos,98,80,82,52,54
Cebreros,Municipio,Ávila,3.402,3.627,3.156,3.505,3.056
Cebrones del Río,Municipio,León,1.003,830,680,547,461
Cedillo de la Torre,Municipio,Segovia,185,164,123,125,95
Ceinos de Campos,Municipio,Valladolid,350,278,272,261,225
Celada del Camino,Municipio,Burgos,108,104,91,98,115
Centenera de Andaluz,Municipio,Soria,52,40,26,25,21
Cepeda,Municipio,Salamanca,652,598,494,377,331
Cepeda la Mora,Municipio,Ávila,221,168,126,90,76
Cerbón,Municipio,Soria,129,67,46,39,30
Cereceda de la Sierra,Municipio,Salamanca,170,128,92,101,66
Cerecinos de Campos,Municipio,Zamora,625,478,426,329,275
Cerecinos del Carrizal,Municipio,Zamora,276,189,156,129,121
Cerezal de Peñahorcada,Municipio,Salamanca,211,163,120,90,76
Cerezo de Abajo,Municipio,Segovia,154,184,175,151,117
Cerezo de Arriba,Municipio,Segovia,166,201,208,189,138
Cerezo de Río Tirón,Municipio,Burgos,1.025,882,753,620,575
Cernadilla,Municipio,Zamora,286,193,168,162,116
Cerralbo,Municipio,Salamanca,392,303,249,197,154
Cerratón de Juarros,Municipio,Burgos,103,69,70,54,57
Cervatos de la Cueza,Municipio,Palencia,500,431,365,312,262
Cervera de Pisuerga,Municipio,Palencia,3.185,2.953,2.586,2.563,2.316
Cervillego de la Cruz,Municipio,Valladolid,227,191,147,101,94
Cespedosa de Tormes,Municipio,Salamanca,888,749,617,578,490
Cevico de la Torre,Municipio,Palencia,809,767,648,499,490
Cevico Navero,Municipio,Palencia,404,320,252,220,198
Chagarcía Medianero,Municipio,Salamanca,230,181,136,93,78
Chamartín,Municipio,Ávila,163,127,116,91,79
Chañe,Municipio,Segovia,817,764,700,919,754
Chozas de Abajo,Municipio,León,2.285,2.258,2.189,2.411,2.564
Ciadoncha,Municipio,Burgos,171,139,116,70,78
Cidones,Municipio,Soria,394,362,310,344,298
Cigales,Municipio,Valladolid,1.656,1.687,3.045,4.803,5.160
Cigudosa,Municipio,Soria,130,102,61,35,18
Ciguñuela,Municipio,Valladolid,357,368,388,402,381
Cihuela,Municipio,Soria,160,115,90,70,50
Cillán,Municipio,Ávila,196,172,141,116,100
Cillaperlata,Municipio,Burgos,125,86,55,45,33
Cilleros de la Bastida,Municipio,Salamanca,76,67,40,36,25
Cilleruelo de Abajo,Municipio,Burgos,460,396,321,268,224
Cilleruelo de Arriba,Municipio,Burgos,130,97,80,60,44
Cilleruelo de San Mamés,Municipio,Segovia,81,73,47,42,35
Cimanes de la Vega,Municipio,León,834,764,636,544,472
Cimanes del Tejar,Municipio,León,1.472,1.193,951,807,740
Cipérez,Municipio,Salamanca,730,539,419,305,279
Ciria,Municipio,Soria,119,101,109,99,86
Ciruelos de Cervera,Municipio,Burgos,219,189,146,113,101
Cirujales del Río,Municipio,Soria,48,45,39,28,22
Cisla,Municipio,Ávila,309,238,190,138,109
Cisneros,Municipio,Palencia,727,693,581,497,448
Cistérniga (La Cistérniga),Municipio,Valladolid,1.023,1.666,4.378,8.405,9.049
Cistierna,Municipio,León,5.639,4.916,4.108,3.666,3.150
Ciudad Rodrigo,Municipio,Salamanca,15.324,14.882,13.991,13.655,12.513
Cobos de Cerrato,Municipio,Palencia,312,263,233,159,139
Cobos de Fuentidueña,Municipio,Segovia,98,92,61,38,34
Cobreros,Municipio,Zamora,1.198,847,697,617,576
Coca,Municipio,Segovia,2.141,2.031,1.921,1.984,1.774
Coca de Alba,Municipio,Salamanca,212,203,146,107,108
